ACTION,TOPIC,UTTERANCE
C_QUESTION_ABOUT_FEATURE,bulb_mode_what,
C_QUESTION_ABOUT_FEATURE,bulb_mode_what,
C_QUESTION_ABOUT_FEATURE,camera_name,afternoon I'm interested with this camera can you tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,and can you please explain me about the features of this camera
C_QUESTION_ABOUT_FEATURE,camera_name,are there any other special features about this camera
C_QUESTION_ABOUT_FEATURE,camera_name,are there any special features for this camera
C_QUESTION_ABOUT_FEATURE,camera_name,can you explain more about the features
C_QUESTION_ABOUT_FEATURE,camera_name,Can you explain to me the manual settings for this camera
C_QUESTION_ABOUT_FEATURE,camera_name,Can you tell me more about the features
C_QUESTION_ABOUT_FEATURE,camera_name,can you tell me more about this camera
C_QUESTION_ABOUT_FEATURE,camera_name,can you tell me more about this camera
C_QUESTION_ABOUT_FEATURE,camera_name,Can you tell me more about this preset mode
C_QUESTION_ABOUT_FEATURE,camera_name,can you tell me more about this technology
C_QUESTION_ABOUT_FEATURE,camera_name,can you tell me some information about this
C_QUESTION_ABOUT_FEATURE,camera_name,can you tell me the autofocus
C_QUESTION_ABOUT_FEATURE,camera_name,could you explain this camera to me
C_QUESTION_ABOUT_FEATURE,camera_name,could you explain this camera to me
C_QUESTION_ABOUT_FEATURE,camera_name,could you tell me some of the features for this camera
C_QUESTION_ABOUT_FEATURE,camera_name,could you tell me some of the features of this Camera
C_QUESTION_ABOUT_FEATURE,camera_name,could you tell me some of the special features of this camera come out
C_QUESTION_ABOUT_FEATURE,camera_name,excuse me could you explain this camera to me
C_QUESTION_ABOUT_FEATURE,camera_name,good afternoon can you tell me about autofocus points on this camera
C_QUESTION_ABOUT_FEATURE,camera_name,good afternoon can you tell me more about this model
C_QUESTION_ABOUT_FEATURE,camera_name,I definitely true and that's true maybe can you tell me about the megapixels
C_QUESTION_ABOUT_FEATURE,camera_name,I see and can you explain me more of the features on this camera
C_QUESTION_ABOUT_FEATURE,camera_name,I see and can you tell me more about the features that December has
C_QUESTION_ABOUT_FEATURE,camera_name,I see I can you please explain me more about the features on this camera
C_QUESTION_ABOUT_FEATURE,camera_name,I would like to know what are some of the special features found in camera
C_QUESTION_ABOUT_FEATURE,camera_name,is there anything else I should know about this model
C_QUESTION_ABOUT_FEATURE,camera_name,Isis right think this is the one that I need can you tell me about the features
C_QUESTION_ABOUT_FEATURE,camera_name,oh I see I see and can you tell me the price again about this
C_QUESTION_ABOUT_FEATURE,camera_name,oh that sounds great can you tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,okay and can you please explain me about this I'll pick up soon
C_QUESTION_ABOUT_FEATURE,camera_name,okay that's very interesting can you tell me a little bit more of the features that this camera has
C_QUESTION_ABOUT_FEATURE,camera_name,really can you tell me more
C_QUESTION_ABOUT_FEATURE,camera_name,really tell me more
C_QUESTION_ABOUT_FEATURE,camera_name,show me the features of this camera
C_QUESTION_ABOUT_FEATURE,camera_name,so can you tell me a bit about it
C_QUESTION_ABOUT_FEATURE,camera_name,so is this camera any good
C_QUESTION_ABOUT_FEATURE,camera_name,tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,that looks good can you tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,this camera looks good can you tell me more about it
C_QUESTION_ABOUT_FEATURE,camera_name,this one looks good can you tell me about this one
C_QUESTION_ABOUT_FEATURE,camera_name,what is this camera called
C_QUESTION_ABOUT_FEATURE,camera_name,what man was the first special special feature for this camera
C_QUESTION_ABOUT_FEATURE,camera_name,what special features does it have
C_QUESTION_ABOUT_FEATURE,camera_name,who can you tell me more about this one
C_QUESTION_ABOUT_FEATURE,camera_name,yeah yeah can you tell me the special features of this camera such as light is over also like you know it's the size and also all the focus point
C_QUESTION_ABOUT_FEATURE,camera_name,yes can you explain this camera to me
C_QUESTION_ABOUT_FEATURE,camera_type,is this a DSLR camera
C_QUESTION_ABOUT_FEATURE,camera_type,Is this a mirrorless camera?
C_QUESTION_ABOUT_FEATURE,camera_type,is this a point and shoot camera
C_QUESTION_ABOUT_FEATURE,camera_type,what kind of camera is this
C_QUESTION_ABOUT_FEATURE,camera_type,
C_QUESTION_ABOUT_FEATURE,color,alright does it come in any other color 
C_QUESTION_ABOUT_FEATURE,color,and it comes in different colors
C_QUESTION_ABOUT_FEATURE,color,and it comes in different colors
C_QUESTION_ABOUT_FEATURE,color,and what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,can I know if you have any other colors
C_QUESTION_ABOUT_FEATURE,color,come in color
C_QUESTION_ABOUT_FEATURE,color,Comes in different colors what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,did this camera come in any other colors
C_QUESTION_ABOUT_FEATURE,color,do you have any different color
C_QUESTION_ABOUT_FEATURE,color,do you have any other colors like maybe you something suitable for goats
C_QUESTION_ABOUT_FEATURE,color,do you have it in a different color
C_QUESTION_ABOUT_FEATURE,color,Do you have it in any other colors
C_QUESTION_ABOUT_FEATURE,color,do you know how many colors this camera has
C_QUESTION_ABOUT_FEATURE,color,do you like a rock in camera silver isn't very hard to fulfil do you have any other colors
C_QUESTION_ABOUT_FEATURE,color,does Camry come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come any in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in any colors close to White
C_QUESTION_ABOUT_FEATURE,color,does it come in any other color
C_QUESTION_ABOUT_FEATURE,color,Does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,does it come in other color option
C_QUESTION_ABOUT_FEATURE,color,does it come in other colors
C_QUESTION_ABOUT_FEATURE,color,does this come in any other colors
C_QUESTION_ABOUT_FEATURE,color,Does this come in any other colors
C_QUESTION_ABOUT_FEATURE,color,Does this one come in any other color
C_QUESTION_ABOUT_FEATURE,color,does this thing on camera and they come in silver color
C_QUESTION_ABOUT_FEATURE,color,great and do you have any discolor or are there any other colors
C_QUESTION_ABOUT_FEATURE,color,hopefully this camera had any colors
C_QUESTION_ABOUT_FEATURE,color,how about the colors and what color does it come in
C_QUESTION_ABOUT_FEATURE,color,How about the colors does it come in any other color
C_QUESTION_ABOUT_FEATURE,color,how many colors do you have
C_QUESTION_ABOUT_FEATURE,color,how many colors does it come in
C_QUESTION_ABOUT_FEATURE,color,how many colors does it come in
C_QUESTION_ABOUT_FEATURE,color,how many colors does this camera come in
C_QUESTION_ABOUT_FEATURE,color,how many colors does this icon coming
C_QUESTION_ABOUT_FEATURE,color,I am just studying photography does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,I don't like any other color
C_QUESTION_ABOUT_FEATURE,color,I want to know what kind of colors do you have for this camera
C_QUESTION_ABOUT_FEATURE,color,I will say maybe next week but what is how many colors do you have in this canon
C_QUESTION_ABOUT_FEATURE,color,in how many colors does it come in
C_QUESTION_ABOUT_FEATURE,color,interesting do you know what colors do you have in this one
C_QUESTION_ABOUT_FEATURE,color,is there any other colors
C_QUESTION_ABOUT_FEATURE,color,is there any other colors
C_QUESTION_ABOUT_FEATURE,color,is there any other colors
C_QUESTION_ABOUT_FEATURE,color,Is there any other colors for this
C_QUESTION_ABOUT_FEATURE,color,is there any other colors for this camera
C_QUESTION_ABOUT_FEATURE,color,is there any other colors of this camera
C_QUESTION_ABOUT_FEATURE,color,is this camera good for taking or how many colors do you have in this camera
C_QUESTION_ABOUT_FEATURE,color,oh I see in a different color is awful
C_QUESTION_ABOUT_FEATURE,color,oh this is very cool what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,oh yeah it's it's like what do you have anything on it or any other colors
C_QUESTION_ABOUT_FEATURE,color,okay just like question are there just one color or are there many colors
C_QUESTION_ABOUT_FEATURE,color,okay well what other colors does it come in
C_QUESTION_ABOUT_FEATURE,color,okay what color does it come in
C_QUESTION_ABOUT_FEATURE,color,pandas are there any other color swallow this
C_QUESTION_ABOUT_FEATURE,color,really ok and what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,say does it come in any other lighter colors
C_QUESTION_ABOUT_FEATURE,color,silver so boring though this come in any other colors
C_QUESTION_ABOUT_FEATURE,color,So explain this camera to me how many colors does it come in
C_QUESTION_ABOUT_FEATURE,color,so this is come in gold
C_QUESTION_ABOUT_FEATURE,color,so what about color  I don't have to like this color do you have any kinds of Heaven
C_QUESTION_ABOUT_FEATURE,color,sounds like I am does it come in different colors
C_QUESTION_ABOUT_FEATURE,color,tell me what color is this one comes in
C_QUESTION_ABOUT_FEATURE,color,that sounds a bit heavy does it come in any other colors
C_QUESTION_ABOUT_FEATURE,color,that's cool what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what and what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what are the colors do you have
C_QUESTION_ABOUT_FEATURE,color,what are the colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what color do you have
C_QUESTION_ABOUT_FEATURE,color,what color do you have
C_QUESTION_ABOUT_FEATURE,color,what color do you have
C_QUESTION_ABOUT_FEATURE,color,what color do you have
C_QUESTION_ABOUT_FEATURE,color,what color does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors do you have in this
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does it come in
C_QUESTION_ABOUT_FEATURE,color,what colors does this one come in
C_QUESTION_ABOUT_FEATURE,color,what kind of color do you have for this camera
C_QUESTION_ABOUT_FEATURE,color,What kind of colors do you have available for this summer
C_QUESTION_ABOUT_FEATURE,color,when did you mention about color at  just one color and I am wondering that
C_QUESTION_ABOUT_FEATURE,color,when does it come in any other color
C_QUESTION_ABOUT_FEATURE,color,when does it come in any other color other than Silva 
C_QUESTION_ABOUT_FEATURE,color,when does this come in another color
C_QUESTION_ABOUT_FEATURE,color,which color do you think suits me
C_QUESTION_ABOUT_FEATURE,color,yeah okay and how many colors does it come in
C_QUESTION_ABOUT_FEATURE,color,yeah that's right and you have it in different colors
C_QUESTION_ABOUT_FEATURE,effects,18 Wildcat so many is that including the Glamorous touch effect
C_QUESTION_ABOUT_FEATURE,effects,Anakin explain this artistic effect my place
C_QUESTION_ABOUT_FEATURE,effects,and how does the artistic effect Mode work
C_QUESTION_ABOUT_FEATURE,effects,and what about this artistic artistic effect mode 
C_QUESTION_ABOUT_FEATURE,effects,and what is the artistic effect mode on this camera
C_QUESTION_ABOUT_FEATURE,effects,can I add also effects on the pictures
C_QUESTION_ABOUT_FEATURE,effects,can I use this artistic effect mode to smooth my skin
C_QUESTION_ABOUT_FEATURE,effects,can you explain the artistic effects modes available with this one
C_QUESTION_ABOUT_FEATURE,effects,does it have an artistic effect mode
C_QUESTION_ABOUT_FEATURE,effects,does it have any effect modes
C_QUESTION_ABOUT_FEATURE,effects,does it have artistic effect lights
C_QUESTION_ABOUT_FEATURE,effects,does it have artistic effect mode
C_QUESTION_ABOUT_FEATURE,effects,how many autistic affect much does a half
C_QUESTION_ABOUT_FEATURE,effects,I don't sense as a cystic effect mode what does that do
C_QUESTION_ABOUT_FEATURE,effects,it says here artistic effect mode what is that
C_QUESTION_ABOUT_FEATURE,effects,okay good how about the artistic effect mode what is that good
C_QUESTION_ABOUT_FEATURE,effects,okay good I'm going to take this as autistic effect mode what does that mean exactly
C_QUESTION_ABOUT_FEATURE,effects,okay let's see what about the artistic effect mode is it really good or is it ok
C_QUESTION_ABOUT_FEATURE,effects,okay that's a record and how many of those effects does it have
C_QUESTION_ABOUT_FEATURE,effects,something that can add an artistic effect
C_QUESTION_ABOUT_FEATURE,effects,what about artistic effect or something
C_QUESTION_ABOUT_FEATURE,effects,what about the artistic effect
C_QUESTION_ABOUT_FEATURE,effects,what about the artistic effect mode how does that work
C_QUESTION_ABOUT_FEATURE,effects,what are these a special artistic effect mode features
C_QUESTION_ABOUT_FEATURE,effects,what is about the artistic effect mode
C_QUESTION_ABOUT_FEATURE,effects,what kind of effects does it have
C_QUESTION_ABOUT_FEATURE,effects,what other effects does it have
C_QUESTION_ABOUT_FEATURE,effects,what's an example of one of the effects
C_QUESTION_ABOUT_FEATURE,effects,what's the artistic effect mode
C_QUESTION_ABOUT_FEATURE,effects,yeah but I don't really know that stuff does it have any effect modes
C_QUESTION_ABOUT_FEATURE,exposure_what,what is exposure
C_QUESTION_ABOUT_FEATURE,exposure_what,
C_QUESTION_ABOUT_FEATURE,exposure_what,
C_QUESTION_ABOUT_FEATURE,exposure_what,
C_QUESTION_ABOUT_FEATURE,exposure_what,
C_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,what are glamor retouch effects
C_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,
C_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,
C_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,
C_QUESTION_ABOUT_FEATURE,glamour_retouch_effects_what,
C_QUESTION_ABOUT_FEATURE,ISO,a and ISO
C_QUESTION_ABOUT_FEATURE,ISO,alright and uh how about the iso setting
C_QUESTION_ABOUT_FEATURE,ISO,and how about the ISO
C_QUESTION_ABOUT_FEATURE,ISO,and how about the iso settings
C_QUESTION_ABOUT_FEATURE,ISO,and how high does the iso good
C_QUESTION_ABOUT_FEATURE,ISO,and the ISO
C_QUESTION_ABOUT_FEATURE,ISO,does it have good ISO
C_QUESTION_ABOUT_FEATURE,ISO,great under how about the ISO
C_QUESTION_ABOUT_FEATURE,ISO,how about the ISO on this
C_QUESTION_ABOUT_FEATURE,ISO,How about the ISO range of this camera
C_QUESTION_ABOUT_FEATURE,ISO,how about the ISO something
C_QUESTION_ABOUT_FEATURE,ISO,how high can I set the ISO
C_QUESTION_ABOUT_FEATURE,ISO,how high is the ISO
C_QUESTION_ABOUT_FEATURE,ISO,how high is the ISO
C_QUESTION_ABOUT_FEATURE,ISO,how high should I so how will is it able to shoot
C_QUESTION_ABOUT_FEATURE,ISO,how hot is the iso guns
C_QUESTION_ABOUT_FEATURE,ISO,how is iso
C_QUESTION_ABOUT_FEATURE,ISO,how is iso performance
C_QUESTION_ABOUT_FEATURE,ISO,how is iso performance of this camera
C_QUESTION_ABOUT_FEATURE,ISO,How is iso performance of this camera
C_QUESTION_ABOUT_FEATURE,ISO,how is the iso
C_QUESTION_ABOUT_FEATURE,ISO,How is the iso performance
C_QUESTION_ABOUT_FEATURE,ISO,how is the ISO performance
C_QUESTION_ABOUT_FEATURE,ISO,how is the ISO performance
C_QUESTION_ABOUT_FEATURE,ISO,how is the iso performance
C_QUESTION_ABOUT_FEATURE,ISO,I said what's the ISO on this one
C_QUESTION_ABOUT_FEATURE,ISO,I see and how far how much how high can you push the ISO
C_QUESTION_ABOUT_FEATURE,ISO,I see and what about the ISO
C_QUESTION_ABOUT_FEATURE,ISO,I see how high can the iso be
C_QUESTION_ABOUT_FEATURE,ISO,I see okay and the ISO
C_QUESTION_ABOUT_FEATURE,ISO,in the iso what is the ISO on this camera
C_QUESTION_ABOUT_FEATURE,ISO,is this able to shoot high iso
C_QUESTION_ABOUT_FEATURE,ISO,is this camera able to shoot in high iso
C_QUESTION_ABOUT_FEATURE,ISO,ISO option is
C_QUESTION_ABOUT_FEATURE,ISO,ISO performers
C_QUESTION_ABOUT_FEATURE,ISO,oh that's great how about the iso settings
C_QUESTION_ABOUT_FEATURE,ISO,Ohio ISOs so how well is the able to shoot
C_QUESTION_ABOUT_FEATURE,ISO,ok also the iso rate
C_QUESTION_ABOUT_FEATURE,ISO,ok what about the I don't know what the ISO
C_QUESTION_ABOUT_FEATURE,ISO,ok what about the ISO as well
C_QUESTION_ABOUT_FEATURE,ISO,okay And they ISO
C_QUESTION_ABOUT_FEATURE,ISO,okay and what is the what is ISO
C_QUESTION_ABOUT_FEATURE,ISO,okay I see and can you please explain me about the ISO
C_QUESTION_ABOUT_FEATURE,ISO,so how high does the iso go
C_QUESTION_ABOUT_FEATURE,ISO,so what is the high ISO performance like
C_QUESTION_ABOUT_FEATURE,ISO,sounds good how high does the iso go
C_QUESTION_ABOUT_FEATURE,ISO,that sounds good how high can I set the ISO
C_QUESTION_ABOUT_FEATURE,ISO,that's cool and what about the iso setting
C_QUESTION_ABOUT_FEATURE,ISO,that's perfect how high can I set the ISO
C_QUESTION_ABOUT_FEATURE,ISO,what about ISO performance
C_QUESTION_ABOUT_FEATURE,ISO,what about the ISO
C_QUESTION_ABOUT_FEATURE,ISO,what about the iso how good it is
C_QUESTION_ABOUT_FEATURE,ISO,what about the iso what is ISO anything
C_QUESTION_ABOUT_FEATURE,ISO,what about this one with the ISO
C_QUESTION_ABOUT_FEATURE,ISO,what is a ISO on a camera
C_QUESTION_ABOUT_FEATURE,ISO,what is iso performance
C_QUESTION_ABOUT_FEATURE,ISO,what is the ISO
C_QUESTION_ABOUT_FEATURE,ISO,what is the iso setting on it
C_QUESTION_ABOUT_FEATURE,ISO,what is this ISO thing
C_QUESTION_ABOUT_FEATURE,ISO,yeah what's ISO
C_QUESTION_ABOUT_FEATURE,ISO_what,what is ISO
C_QUESTION_ABOUT_FEATURE,ISO_what,
C_QUESTION_ABOUT_FEATURE,ISO_what,
C_QUESTION_ABOUT_FEATURE,ISO_what,
C_QUESTION_ABOUT_FEATURE,ISO_what,
C_QUESTION_ABOUT_FEATURE,long_exposure,and does it have a long exposure mode
C_QUESTION_ABOUT_FEATURE,long_exposure,and exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and how about its exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and how about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and how about the long exposure setting
C_QUESTION_ABOUT_FEATURE,long_exposure,and how long is this exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and I see that it does long exposures
C_QUESTION_ABOUT_FEATURE,long_exposure,and is this also good camera for long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and the exposure is
C_QUESTION_ABOUT_FEATURE,long_exposure,and what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,and what about the exposure folding
C_QUESTION_ABOUT_FEATURE,long_exposure,and what's the long exposure on this
C_QUESTION_ABOUT_FEATURE,long_exposure,can it take long exposure shots
C_QUESTION_ABOUT_FEATURE,long_exposure,can you do a long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,can you do long exposure shoot
C_QUESTION_ABOUT_FEATURE,long_exposure,for the exposure of this one is it the same as the other one
C_QUESTION_ABOUT_FEATURE,long_exposure,good good good and long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,hey what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,how about the exposure for this is it able to be exposed long
C_QUESTION_ABOUT_FEATURE,long_exposure,I see and can you please tell me about the long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,ICN worry about their long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,I'm going to do long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,is the exposure any good
C_QUESTION_ABOUT_FEATURE,long_exposure,is the exposure over 20 seconds
C_QUESTION_ABOUT_FEATURE,long_exposure,is this a long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,is this long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,Is this support for long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,Is this support for long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,Is this support for long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,Odysseus up with long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,oh that sounds good how long does the exposure go
C_QUESTION_ABOUT_FEATURE,long_exposure,ok what about the long exposure rate how good is that
C_QUESTION_ABOUT_FEATURE,long_exposure,okay and how about its exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,okay and how is it for long exposures
C_QUESTION_ABOUT_FEATURE,long_exposure,okay and how long is the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,polo knit long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,that's good how long can I set the exposure to
C_QUESTION_ABOUT_FEATURE,long_exposure,that's great and has a long exposure might as well
C_QUESTION_ABOUT_FEATURE,long_exposure,the lens looks kinda small bow what's the exposure on this one
C_QUESTION_ABOUT_FEATURE,long_exposure,There is time when I need to open the shutter for longer than 30 seconds is it possible with this camera
C_QUESTION_ABOUT_FEATURE,long_exposure,what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,what about the exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,what about the exposure how long can I set it to
C_QUESTION_ABOUT_FEATURE,long_exposure,what about the exposure what can it handle
C_QUESTION_ABOUT_FEATURE,long_exposure,what is exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,what is the exposure like
C_QUESTION_ABOUT_FEATURE,long_exposure,what what's the exposure how long how high does it go
C_QUESTION_ABOUT_FEATURE,long_exposure,what's the long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,what's the long exposure like
C_QUESTION_ABOUT_FEATURE,long_exposure,what's up with the long exposure
C_QUESTION_ABOUT_FEATURE,long_exposure,when and how much does the or what is the long exposure on this
C_QUESTION_ABOUT_FEATURE,megapixels_what,I'm not really sure what megapixel means can you please explain to me 
C_QUESTION_ABOUT_FEATURE,megapixels_what,
C_QUESTION_ABOUT_FEATURE,megapixels_what,
C_QUESTION_ABOUT_FEATURE,megapixels_what,
C_QUESTION_ABOUT_FEATURE,megapixels_what,
C_QUESTION_ABOUT_FEATURE,mirrorless_what,what is a mirrorless camera
C_QUESTION_ABOUT_FEATURE,mirrorless_what,
C_QUESTION_ABOUT_FEATURE,mirrorless_what,
C_QUESTION_ABOUT_FEATURE,mirrorless_what,
C_QUESTION_ABOUT_FEATURE,mirrorless_what,
C_QUESTION_ABOUT_FEATURE,optical_zoom,and the optical zoom whats the optical zoom on that
C_QUESTION_ABOUT_FEATURE,optical_zoom,and what about the optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,can I lick a zoom in
C_QUESTION_ABOUT_FEATURE,optical_zoom,does it have a good zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,does it have optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,does it have optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,excuse me what does it mean by optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,good good good and it has the optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,good that's a good effect okay how about the optical zooms
C_QUESTION_ABOUT_FEATURE,optical_zoom,how about the ability of fight for the zoom how much is optical zoom for this camera
C_QUESTION_ABOUT_FEATURE,optical_zoom,how about the optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,how far does the zoom on this one go
C_QUESTION_ABOUT_FEATURE,optical_zoom,how good is it for the optical zoom 
C_QUESTION_ABOUT_FEATURE,optical_zoom,how much does a bowl to zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,how's the zoom on it
C_QUESTION_ABOUT_FEATURE,optical_zoom,I see ok can the optical zoom what does that do
C_QUESTION_ABOUT_FEATURE,optical_zoom,I see what about the optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,ok perfect for my budget okay do you know the optical zoom range
C_QUESTION_ABOUT_FEATURE,optical_zoom,okay an optical zoom what does this
C_QUESTION_ABOUT_FEATURE,optical_zoom,okay and if I have an optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,okay can you tell me what optical zoom it has
C_QUESTION_ABOUT_FEATURE,optical_zoom,okay so it's not the same kind of zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,okay that's the drawback okay and he comes here with optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,Sharp Images High and optical zoom does that mean the lens comes out
C_QUESTION_ABOUT_FEATURE,optical_zoom,that's so many and what's the optical zoom on this phone
C_QUESTION_ABOUT_FEATURE,optical_zoom,the optical zoom on this camera what is it
C_QUESTION_ABOUT_FEATURE,optical_zoom,under does it have a zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,what about the optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,What about the Zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,what what is the what is the of the optical zoom how does it work how far can I zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom,you mention about optical zooms what does that mean can you explain to me
C_QUESTION_ABOUT_FEATURE,optical_zoom_what,what is optical zoom
C_QUESTION_ABOUT_FEATURE,optical_zoom_what,
C_QUESTION_ABOUT_FEATURE,optical_zoom_what,
C_QUESTION_ABOUT_FEATURE,optical_zoom_what,
C_QUESTION_ABOUT_FEATURE,optical_zoom_what,
C_QUESTION_ABOUT_FEATURE,preset_modes,and it has preset modes right
C_QUESTION_ABOUT_FEATURE,preset_modes,can you please explain me more about the their priests mode
C_QUESTION_ABOUT_FEATURE,preset_modes,cool any preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,do they have pet mode
C_QUESTION_ABOUT_FEATURE,preset_modes,do you have any cameras with landscape night mode and menu settings
C_QUESTION_ABOUT_FEATURE,preset_modes,Does camera support for preset Morsi
C_QUESTION_ABOUT_FEATURE,preset_modes,does he have any menu settings at all
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have any preset mode
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have any preset mode ready to use
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have any preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have dog mode
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have like preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,does it have preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,does this camera also have preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,Does this camera have preset modes?
C_QUESTION_ABOUT_FEATURE,preset_modes,does this camera support for preset mode
C_QUESTION_ABOUT_FEATURE,preset_modes,does this camera support for preset mode
C_QUESTION_ABOUT_FEATURE,preset_modes,Does this support for does mode
C_QUESTION_ABOUT_FEATURE,preset_modes,is it equipped with any preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes,Is this camera support for basic mode
C_QUESTION_ABOUT_FEATURE,preset_modes,Is this support preset mode
C_QUESTION_ABOUT_FEATURE,preset_modes,oh I see and what about the automatic settings I just wanted to press a button and take a picture
C_QUESTION_ABOUT_FEATURE,preset_modes,okay and does it have any menu settings
C_QUESTION_ABOUT_FEATURE,preset_modes,what about the modes
C_QUESTION_ABOUT_FEATURE,preset_modes,what about the present mode what is that
C_QUESTION_ABOUT_FEATURE,preset_modes,what does this support for preset mode
C_QUESTION_ABOUT_FEATURE,preset_modes_what,what are preset modes
C_QUESTION_ABOUT_FEATURE,preset_modes_what,
C_QUESTION_ABOUT_FEATURE,preset_modes_what,
C_QUESTION_ABOUT_FEATURE,preset_modes_what,
C_QUESTION_ABOUT_FEATURE,preset_modes_what,
C_QUESTION_ABOUT_FEATURE,price, I'm worried about the price on this camera
C_QUESTION_ABOUT_FEATURE,price,always seem what's the price of this camera and what's the wait
C_QUESTION_ABOUT_FEATURE,price,and how about the price
C_QUESTION_ABOUT_FEATURE,price,and how about the price on this one
C_QUESTION_ABOUT_FEATURE,price,and how much does it cost
